message,category,label_subtype,contains_link,suspicious_words,sender_trust_score,link_reputation_score,language_type,ai_generated_score
limited discount buy 1 get 1 free on myntra. don t miss out,promo,General Promo,0,"free, limited",0.73,1.0,English,0.84
your icici account has been suspended. verify immediately at http://phish-3.co,scam,Bank Scam,1,"account, verify",0.04,0.03,English,0.68
hi i am sophia. i think we should meet. view my photos: http://phish-0.co,scam,Relationship Scam,1,,0.14,0.15,English,0.78
hey bro kal party h na milte hain 7 baje.,ham,Personal,0,,0.74,1.0,English,0.21
flash sale get 80 off on flipkart today shop now: https://secure-site.com/3,promo,General Promo,1,sale,0.73,0.66,English,0.97
congratulations you won the iphone 15 lottery confirm delivery: http://phish-3.co,scam,Clickbait,1,congratulations,0.05,0.02,English,0.53
hey bro kal party h na milte hain 10 baje.,ham,Personal,0,,0.74,1.0,English,0.14
click here to claim your free cruise ticket . limited time offer,scam,Clickbait,0,"click, offer, free, limited",0.06,1.0,English,0.56
limited offer buy 1 get 1 free on chroma. don t miss out,promo,General Promo,0,"offer, free, limited",0.53,1.0,English,0.76
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/1,promo,Service Update,1,,0.49,0.6,English,0.74
congratulations you won the iphone 15 lottery confirm delivery: http://phish-2.co,scam,Clickbait,1,congratulations,0.28,0.15,English,0.92
you won a 1000 myntra gift card. click here to claim http://phish-4.co,scam,E-commerce Scam,1,click,0.09,0.24,English,0.93
flash sale get 90 off on amazon today shop now: https://secure-site.com/4,promo,General Promo,1,sale,0.46,0.5,English,0.67
urgent update your hdfc kyc now: http://phish-1.co,scam,Bank Scam,1,urgent,0.28,0.14,English,0.79
your paytm account has been frozen. verify immediately at http://phish-3.co,scam,Bank Scam,1,"account, verify",0.18,0.05,English,0.86
new job discount earn 5000 weekly from home. reply yes to apply.,promo,Service Update,0,,0.71,1.0,English,0.76
security alert we detected suspicious activity. call phone or visit http://phish-3.co,scam,Tech Support,1,,0.1,0.19,English,0.79
your icici account has been suspended. verify immediately at http://phish-2.co,scam,Bank Scam,1,"account, verify",0.05,0.07,English,0.84
your monthly bill is due. pay before 30th to avoid interruption: www.official-track.com,promo,Service Update,1,,0.51,0.51,English,0.87
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.78,1.0,English,0.12
are you coming to class today reply soon.,ham,Personal,0,,0.92,1.0,English,0.12
your order 9487 is confirmed. track it here: https://secure-site.com/1,promo,Service Update,1,,0.42,0.84,English,0.58
prize of rs. 5000 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.03,1.0,English,0.54
congratulations you won the iphone 15 lottery confirm delivery: http://phish-4.co,scam,Clickbait,1,congratulations,0.22,0.28,English,0.62
click here to claim your free voucher . limited time discount,scam,Clickbait,0,"click, free, limited",0.04,1.0,English,0.88
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.78,1.0,English,0.26
your paytm account has been frozen. verify immediately at http://phish-0.co,scam,Bank Scam,1,"account, verify",0.4,0.04,English,0.86
hi i am david. i think we should meet. view my photos: www.verify-now.net,scam,Relationship Scam,1,verify,0.33,0.29,English,0.93
limited offer buy 1 get 1 free on amazon. don t miss out,promo,General Promo,0,"offer, free, limited",0.63,1.0,English,0.82
your order 2274 is stuck. confirm payment details: http://phish-4.co,scam,E-commerce Scam,1,,0.06,0.17,English,0.8
new job offer earn 5000 weekly from home. reply yes to apply.,promo,Service Update,0,offer,0.53,1.0,English,0.76
flash sale get 70 off on myntra today shop now: https://secure-site.com/0,promo,General Promo,1,sale,0.68,0.75,English,0.59
congratulations you won the iphone 15 lottery confirm delivery: www.verify-now.net,scam,Clickbait,1,"verify, congratulations",0.25,0.03,English,0.5
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.79,1.0,English,0.15
are you coming to class today reply soon.,ham,Personal,0,,0.87,1.0,English,0.12
congratulations you won the iphone 15 lottery confirm delivery: http://phish-1.co,scam,Clickbait,1,congratulations,0.03,0.23,English,0.7
prize of rs. 500 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.16,1.0,English,0.53
congratulations you won the iphone 15 lottery confirm delivery: http://phish-3.co,scam,Clickbait,1,congratulations,0.25,0.16,English,0.69
security alert we detected suspicious activity. call phone or visit http://phish-0.co,scam,Tech Support,1,,0.22,0.17,English,0.75
hi i am clara. i think we should meet. view my photos: www.verify-now.net,scam,Relationship Scam,1,verify,0.03,0.24,English,0.89
doctor s appointment confirmed for tomorrow at 10.,ham,Service Update,0,,0.82,1.0,English,0.28
your order 5773 is stuck. confirm payment details: http://phish-3.co,scam,E-commerce Scam,1,,0.06,0.29,English,0.78
urgent update your sbi kyc now: www.verify-now.net,scam,Bank Scam,1,"verify, urgent",0.02,0.11,English,0.65
your order 5773 is confirmed. track it here: https://secure-site.com/3,promo,Service Update,1,,0.48,0.66,English,0.94
your otp for login is 199642. do not share it with anyone.,ham,Service Update,0,,0.92,1.0,English,0.02
doctor s appointment confirmed for tomorrow at 10.,ham,Service Update,0,,0.87,1.0,English,0.26
security alert we detected suspicious activity. call phone or visit http://phish-3.co,scam,Tech Support,1,,0.02,0.03,English,0.98
urgent update your hdfc kyc now: http://phish-1.co,scam,Bank Scam,1,urgent,0.28,0.03,English,0.93
are you coming to class today reply soon.,ham,Personal,0,,0.95,1.0,English,0.14
hey bro kal party h na milte hain 8 baje.,ham,Personal,0,,0.97,1.0,English,0.15
urgent update your sbi kyc now: http://phish-2.co,scam,Bank Scam,1,urgent,0.14,0.03,English,0.96
prize of rs. 1000 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.34,1.0,English,0.55
your order 3207 is confirmed. track it here: https://secure-site.com/0,promo,Service Update,1,,0.74,0.72,English,0.96
new job deal earn 1000 weekly from home. reply yes to apply.,promo,Service Update,0,,0.61,1.0,English,0.82
limited deal buy 1 get 1 free on amazon. don t miss out,promo,General Promo,0,"free, limited",0.66,1.0,English,0.65
your otp for login is 320718. do not share it with anyone.,ham,Service Update,0,,0.76,1.0,English,0.17
your order 3207 is stuck. confirm payment details: www.verify-now.net,scam,E-commerce Scam,1,verify,0.1,0.07,English,0.56
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/2,promo,Service Update,1,,0.48,0.78,English,0.74
click here to claim your free voucher . limited time offer,scam,Clickbait,0,"click, offer, free, limited",0.19,1.0,English,0.97
click here to claim your free netflix gift card . limited time discount,scam,Clickbait,0,"click, free, limited",0.01,1.0,English,0.78
hey bro kal party h na milte hain 8 baje.,ham,Personal,0,,0.83,1.0,English,0.02
limited offer buy 1 get 1 free on amazon. don t miss out,promo,General Promo,0,"offer, free, limited",0.7,1.0,English,0.77
you won a 80 amazon gift card. click here to claim http://phish-0.co,scam,E-commerce Scam,1,click,0.13,0.12,English,0.54
you won a 500 myntra gift card. click here to claim http://phish-2.co,scam,E-commerce Scam,1,click,0.31,0.22,English,0.91
prize of rs. 80 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.4,1.0,English,0.96
you won a 1000 chroma gift card. click here to claim http://phish-1.co,scam,E-commerce Scam,1,click,0.19,0.21,English,0.8
urgent update your hdfc kyc now: http://phish-0.co,scam,Bank Scam,1,urgent,0.03,0.19,English,0.66
limited offer buy 1 get 1 free on amazon. don t miss out,promo,General Promo,0,"offer, free, limited",0.67,1.0,English,0.96
click here to claim your free cruise ticket . limited time offer,scam,Clickbait,0,"click, offer, free, limited",0.23,1.0,English,0.59
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/4,promo,Service Update,1,,0.61,0.83,English,0.81
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/3,promo,Service Update,1,,0.42,0.9,English,0.96
your order 6346 is confirmed. track it here: https://secure-site.com/2,promo,Service Update,1,,0.59,0.64,English,0.75
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.96,1.0,English,0.01
your sbi account has been blocked. verify immediately at http://phish-3.co,scam,Bank Scam,1,"account, verify",0.23,0.2,English,0.54
flash sale get 70 off on chroma today shop now: https://secure-site.com/3,promo,General Promo,1,sale,0.7,0.75,English,0.81
new job deal earn 500 weekly from home. reply yes to apply.,promo,Service Update,0,,0.72,1.0,English,0.93
your otp for login is 857262. do not share it with anyone.,ham,Service Update,0,,0.71,1.0,English,0.21
hi i am sophia. i think we should meet. view my photos: http://phish-3.co,scam,Relationship Scam,1,,0.31,0.14,English,0.93
your icici account has been suspended. verify immediately at www.verify-now.net,scam,Bank Scam,1,"account, verify",0.16,0.19,English,0.77
click here to claim your free voucher . limited time discount,scam,Clickbait,0,"click, free, limited",0.28,1.0,English,0.9
are you coming to class today reply soon.,ham,Personal,0,,0.75,1.0,English,0.23
are you coming to class today reply soon.,ham,Personal,0,,0.97,1.0,English,0.29
urgent update your icici kyc now: www.verify-now.net,scam,Bank Scam,1,"verify, urgent",0.33,0.26,English,0.63
your order 3207 is stuck. confirm payment details: http://phish-1.co,scam,E-commerce Scam,1,,0.22,0.08,English,0.99
flash sale get 80 off on flipkart today shop now: https://secure-site.com/1,promo,General Promo,1,sale,0.5,0.99,English,0.93
your order 3207 is stuck. confirm payment details: http://phish-3.co,scam,E-commerce Scam,1,,0.25,0.25,English,0.9
your hdfc account has been suspended. verify immediately at http://phish-0.co,scam,Bank Scam,1,"account, verify",0.09,0.09,English,0.78
security alert we detected suspicious activity. call phone or visit http://phish-2.co,scam,Tech Support,1,,0.14,0.05,English,0.85
prize of rs. 5000 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.33,1.0,English,0.65
are you coming to class today reply soon.,ham,Personal,0,,0.86,1.0,English,0.18
your order 2274 is confirmed. track it here: www.official-track.com,promo,Service Update,1,,0.59,0.85,English,0.88
new job deal earn 500 weekly from home. reply yes to apply.,promo,Service Update,0,,0.47,1.0,English,0.93
click here to claim your free voucher . limited time discount,scam,Clickbait,0,"click, free, limited",0.03,1.0,English,0.65
you won a 5000 flipkart gift card. click here to claim http://phish-3.co,scam,E-commerce Scam,1,click,0.18,0.15,English,0.56
you won a 1000 myntra gift card. click here to claim http://phish-0.co,scam,E-commerce Scam,1,click,0.07,0.24,English,0.94
hey bro kal party h na milte hain 7 baje.,ham,Personal,0,,0.91,1.0,English,0.07
click here to claim your free cruise ticket . limited time offer,scam,Clickbait,0,"click, offer, free, limited",0.34,1.0,English,0.95
are you coming to class today reply soon.,ham,Personal,0,,0.73,1.0,English,0.08
are you coming to class today reply soon.,ham,Personal,0,,0.76,1.0,English,0.01
doctor s appointment confirmed for tomorrow at 7.,ham,Service Update,0,,0.78,1.0,English,0.02
your order 5773 is stuck. confirm payment details: http://phish-3.co,scam,E-commerce Scam,1,,0.18,0.16,English,0.65
congratulations you won the iphone 15 lottery confirm delivery: www.verify-now.net,scam,Clickbait,1,"verify, congratulations",0.25,0.18,English,0.54
your hdfc account has been blocked. verify immediately at http://phish-2.co,scam,Bank Scam,1,"account, verify",0.05,0.23,English,0.74
new job discount earn 80 weekly from home. reply yes to apply.,promo,Service Update,0,,0.68,1.0,English,0.71
are you coming to class today reply soon.,ham,Personal,0,,0.76,1.0,Regional,0.2
new job discount earn 500 weekly from home. reply yes to apply.,promo,Service Update,0,,0.43,1.0,English,0.7
your monthly bill is due. pay before 30th to avoid interruption: www.official-track.com,promo,Service Update,1,,0.58,0.68,English,0.72
urgent update your hdfc kyc now: http://phish-3.co,scam,Bank Scam,1,urgent,0.13,0.28,English,0.54
your otp for login is 857262. do not share it with anyone.,ham,Service Update,0,,0.72,1.0,English,0.13
urgent update your sbi kyc now: http://phish-0.co,scam,Bank Scam,1,urgent,0.04,0.11,English,0.75
flash sale get 90 off on chroma today shop now: www.official-track.com,promo,General Promo,1,sale,0.4,0.93,English,0.59
prize of rs. 500 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.19,1.0,English,0.57
limited deal buy 1 get 1 free on flipkart. don t miss out,promo,General Promo,0,"free, limited",0.75,1.0,English,0.53
your order 3207 is confirmed. track it here: https://secure-site.com/2,promo,Service Update,1,,0.45,0.83,English,0.59
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/3,promo,Service Update,1,,0.63,0.93,English,0.85
your paytm account has been frozen. verify immediately at http://phish-2.co,scam,Bank Scam,1,"account, verify",0.35,0.07,English,0.86
doctor s appointment confirmed for tomorrow at 10.,ham,Service Update,0,,0.94,1.0,English,0.29
hi i am clara. i think we should meet. view my photos: www.verify-now.net,scam,Relationship Scam,1,verify,0.21,0.17,English,0.74
new job discount earn 500 weekly from home. reply yes to apply.,promo,Service Update,0,,0.61,1.0,English,0.81
flash sale get 80 off on myntra today shop now: https://secure-site.com/4,promo,General Promo,1,sale,0.61,0.94,English,0.72
you won a 5000 flipkart gift card. click here to claim http://phish-3.co,scam,E-commerce Scam,1,click,0.23,0.13,English,0.61
new job discount earn 1000 weekly from home. reply yes to apply.,promo,Service Update,0,,0.56,1.0,English,0.75
hi i am sophia. i think we should meet. view my photos: http://phish-1.co,scam,Relationship Scam,1,,0.2,0.13,English,0.83
your otp for login is 331948. do not share it with anyone.,ham,Service Update,0,,0.96,1.0,English,0.04
are you coming to class today reply soon.,ham,Personal,0,,0.74,1.0,English,0.09
your sbi account has been frozen. verify immediately at http://phish-4.co,scam,Bank Scam,1,"account, verify",0.32,0.05,English,0.8
limited offer buy 1 get 1 free on myntra. don t miss out,promo,General Promo,0,"offer, free, limited",0.59,1.0,English,0.98
doctor s appointment confirmed for tomorrow at 7.,ham,Service Update,0,,0.77,1.0,Regional,0.09
are you coming to class today reply soon.,ham,Personal,0,,0.72,1.0,English,0.18
your icici account has been blocked. verify immediately at http://phish-1.co,scam,Bank Scam,1,"account, verify",0.26,0.2,English,0.84
prize of rs. 500 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.07,1.0,English,0.73
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/4,promo,Service Update,1,,0.7,0.91,English,0.93
security alert we detected suspicious activity. call phone or visit http://phish-3.co,scam,Tech Support,1,,0.13,0.01,English,0.59
your paytm account has been blocked. verify immediately at http://phish-2.co,scam,Bank Scam,1,"account, verify",0.31,0.14,English,0.76
hi i am david. i think we should meet. view my photos: www.verify-now.net,scam,Relationship Scam,1,verify,0.24,0.02,English,0.81
you won a 500 myntra gift card. click here to claim http://phish-0.co,scam,E-commerce Scam,1,click,0.25,0.27,English,0.78
urgent update your hdfc kyc now: http://phish-1.co,scam,Bank Scam,1,urgent,0.35,0.26,English,0.7
your order 8925 is stuck. confirm payment details: http://phish-1.co,scam,E-commerce Scam,1,,0.02,0.07,English,0.63
new job offer earn 1000 weekly from home. reply yes to apply.,promo,Service Update,0,offer,0.63,1.0,English,0.91
congratulations you won the iphone 15 lottery confirm delivery: http://phish-3.co,scam,Clickbait,1,congratulations,0.14,0.26,English,0.65
flash sale get 80 off on flipkart today shop now: https://secure-site.com/1,promo,General Promo,1,sale,0.73,0.54,English,0.82
urgent update your sbi kyc now: http://phish-3.co,scam,Bank Scam,1,urgent,0.1,0.28,English,0.75
doctor s appointment confirmed for tomorrow at 8.,ham,Service Update,0,,0.85,1.0,English,0.14
congratulations you won the iphone 15 lottery confirm delivery: http://phish-1.co,scam,Clickbait,1,congratulations,0.38,0.26,English,0.99
you won a 80 chroma gift card. click here to claim http://phish-2.co,scam,E-commerce Scam,1,click,0.36,0.07,English,0.63
new job deal earn 5000 weekly from home. reply yes to apply.,promo,Service Update,0,,0.54,1.0,English,0.92
flash sale get 90 off on amazon today shop now: https://secure-site.com/0,promo,General Promo,1,sale,0.48,0.83,English,0.52
hi i am clara. i think we should meet. view my photos: http://phish-0.co,scam,Relationship Scam,1,,0.23,0.06,English,0.63
new job discount earn 5000 weekly from home. reply yes to apply.,promo,Service Update,0,,0.72,1.0,English,0.75
your otp for login is 472002. do not share it with anyone.,ham,Service Update,0,,0.76,1.0,English,0.18
hi i am sophia. i think we should meet. view my photos: http://phish-1.co,scam,Relationship Scam,1,,0.16,0.24,English,0.66
flash sale get 80 off on chroma today shop now: https://secure-site.com/2,promo,General Promo,1,sale,0.49,0.93,English,0.9
security alert we detected suspicious activity. call phone or visit http://phish-1.co,scam,Tech Support,1,,0.13,0.27,English,0.79
you won a 80 myntra gift card. click here to claim www.verify-now.net,scam,E-commerce Scam,1,"click, verify",0.34,0.17,English,0.9
your order 6346 is confirmed. track it here: www.official-track.com,promo,Service Update,1,,0.52,0.9,English,0.91
hey bro kal party h na milte hain 7 baje.,ham,Personal,0,,0.96,1.0,English,0.11
flash sale get 80 off on myntra today shop now: https://secure-site.com/4,promo,General Promo,1,sale,0.7,0.93,English,0.83
your order 5346 is stuck. confirm payment details: http://phish-0.co,scam,E-commerce Scam,1,,0.01,0.29,English,0.8
flash sale get 80 off on chroma today shop now: www.official-track.com,promo,General Promo,1,sale,0.64,0.81,English,0.63
hey bro kal party h na milte hain 7 baje.,ham,Personal,0,,0.73,1.0,English,0.24
security alert we detected suspicious activity. call phone or visit www.verify-now.net,scam,Tech Support,1,verify,0.25,0.06,English,0.92
are you coming to class today reply soon.,ham,Personal,0,,0.82,1.0,English,0.3
your order 6346 is stuck. confirm payment details: http://phish-1.co,scam,E-commerce Scam,1,,0.36,0.2,English,0.59
your order 6346 is confirmed. track it here: https://secure-site.com/1,promo,Service Update,1,,0.44,0.52,English,0.78
security alert we detected suspicious activity. call phone or visit http://phish-1.co,scam,Tech Support,1,,0.11,0.03,English,0.91
your order 2296 is confirmed. track it here: https://secure-site.com/1,promo,Service Update,1,,0.72,0.59,English,0.93
your order 8925 is confirmed. track it here: https://secure-site.com/1,promo,Service Update,1,,0.71,0.8,English,0.54
hey bro kal party h na milte hain 10 baje.,ham,Personal,0,,0.96,1.0,English,0.21
prize of rs. 80 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.21,1.0,English,0.59
congratulations you won the iphone 15 lottery confirm delivery: http://phish-0.co,scam,Clickbait,1,congratulations,0.01,0.24,English,0.77
limited discount buy 1 get 1 free on chroma. don t miss out,promo,General Promo,0,"free, limited",0.62,1.0,English,0.85
congratulations you won the iphone 15 lottery confirm delivery: http://phish-3.co,scam,Clickbait,1,congratulations,0.03,0.16,English,0.64
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/1,promo,Service Update,1,,0.58,0.52,English,0.69
flash sale get 80 off on chroma today shop now: https://secure-site.com/3,promo,General Promo,1,sale,0.72,0.97,English,0.63
are you coming to class today reply soon.,ham,Personal,0,,0.94,1.0,English,0.06
your order 3207 is stuck. confirm payment details: www.verify-now.net,scam,E-commerce Scam,1,verify,0.1,0.24,English,0.94
your order 3207 is stuck. confirm payment details: http://phish-0.co,scam,E-commerce Scam,1,,0.4,0.18,English,0.96
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.94,1.0,English,0.08
you won a 500 amazon gift card. click here to claim http://phish-2.co,scam,E-commerce Scam,1,click,0.2,0.21,English,0.7
are you coming to class today reply soon.,ham,Personal,0,,0.88,1.0,English,0.12
click here to claim your free netflix gift card . limited time deal,scam,Clickbait,0,"click, free, limited",0.1,1.0,English,0.89
your order 2296 is confirmed. track it here: https://secure-site.com/4,promo,Service Update,1,,0.46,0.66,English,0.67
your hdfc account has been blocked. verify immediately at http://phish-4.co,scam,Bank Scam,1,"account, verify",0.4,0.21,English,0.51
your order 4599 is stuck. confirm payment details: http://phish-1.co,scam,E-commerce Scam,1,,0.16,0.08,English,0.95
your paytm account has been suspended. verify immediately at www.verify-now.net,scam,Bank Scam,1,"account, verify",0.15,0.14,English,0.87
urgent update your paytm kyc now: http://phish-0.co,scam,Bank Scam,1,urgent,0.07,0.09,English,0.58
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/4,promo,Service Update,1,,0.44,0.96,English,0.81
click here to claim your free netflix gift card . limited time offer,scam,Clickbait,0,"click, offer, free, limited",0.24,1.0,English,0.57
your hdfc account has been blocked. verify immediately at www.verify-now.net,scam,Bank Scam,1,"account, verify",0.28,0.23,English,0.57
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.73,1.0,English,0.24
urgent update your paytm kyc now: http://phish-1.co,scam,Bank Scam,1,urgent,0.05,0.26,English,0.55
your otp for login is 822311. do not share it with anyone.,ham,Service Update,0,,0.76,1.0,English,0.15
limited deal buy 1 get 1 free on chroma. don t miss out,promo,General Promo,0,"free, limited",0.43,1.0,English,0.76
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.91,1.0,English,0.28
your hdfc account has been blocked. verify immediately at http://phish-4.co,scam,Bank Scam,1,"account, verify",0.04,0.04,English,0.8
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.97,1.0,English,0.24
flash sale get 70 off on amazon today shop now: https://secure-site.com/0,promo,General Promo,1,sale,0.4,0.79,English,0.75
you won a 1000 myntra gift card. click here to claim http://phish-2.co,scam,E-commerce Scam,1,click,0.29,0.22,English,0.52
you won a 500 amazon gift card. click here to claim http://phish-1.co,scam,E-commerce Scam,1,click,0.07,0.06,English,0.54
prize of rs. 80 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.11,1.0,English,0.83
limited deal buy 1 get 1 free on flipkart. don t miss out,promo,General Promo,0,"free, limited",0.64,1.0,English,0.71
your order 2296 is confirmed. track it here: https://secure-site.com/4,promo,Service Update,1,,0.44,0.65,English,0.82
you won a 500 flipkart gift card. click here to claim http://phish-0.co,scam,E-commerce Scam,1,click,0.07,0.1,English,0.71
security alert we detected suspicious activity. call phone or visit http://phish-4.co,scam,Tech Support,1,,0.29,0.1,English,0.87
urgent update your paytm kyc now: http://phish-2.co,scam,Bank Scam,1,urgent,0.35,0.19,English,0.75
your order 6346 is stuck. confirm payment details: http://phish-3.co,scam,E-commerce Scam,1,,0.1,0.17,English,0.79
hi i am clara. i think we should meet. view my photos: http://phish-2.co,scam,Relationship Scam,1,,0.29,0.2,English,0.5
click here to claim your free netflix gift card . limited time deal,scam,Clickbait,0,"click, free, limited",0.22,1.0,English,0.79
congratulations you won the iphone 15 lottery confirm delivery: www.verify-now.net,scam,Clickbait,1,"verify, congratulations",0.19,0.09,English,0.92
are you coming to class today reply soon.,ham,Personal,0,,0.89,1.0,English,0.04
doctor s appointment confirmed for tomorrow at 10.,ham,Service Update,0,,0.97,1.0,English,0.03
your order 8925 is stuck. confirm payment details: http://phish-0.co,scam,E-commerce Scam,1,,0.23,0.03,English,0.63
new job offer earn 500 weekly from home. reply yes to apply.,promo,Service Update,0,offer,0.43,1.0,English,0.71
new job deal earn 500 weekly from home. reply yes to apply.,promo,Service Update,0,,0.71,1.0,English,0.71
click here to claim your free voucher . limited time offer,scam,Clickbait,0,"click, offer, free, limited",0.21,1.0,English,0.88
urgent update your paytm kyc now: http://phish-3.co,scam,Bank Scam,1,urgent,0.14,0.03,English,0.65
your paytm account has been blocked. verify immediately at www.verify-now.net,scam,Bank Scam,1,"account, verify",0.19,0.23,English,0.93
new job deal earn 1000 weekly from home. reply yes to apply.,promo,Service Update,0,,0.5,1.0,English,0.51
your order 5346 is stuck. confirm payment details: http://phish-3.co,scam,E-commerce Scam,1,,0.33,0.27,English,0.75
your otp for login is 413477. do not share it with anyone.,ham,Service Update,0,,0.77,1.0,English,0.08
you won a 80 amazon gift card. click here to claim http://phish-3.co,scam,E-commerce Scam,1,click,0.09,0.15,English,0.7
your order 5346 is stuck. confirm payment details: www.verify-now.net,scam,E-commerce Scam,1,verify,0.25,0.06,English,0.65
are you coming to class today reply soon.,ham,Personal,0,,0.76,1.0,English,0.02
your icici account has been frozen. verify immediately at www.verify-now.net,scam,Bank Scam,1,"account, verify",0.23,0.21,English,0.81
you won a 500 amazon gift card. click here to claim http://phish-3.co,scam,E-commerce Scam,1,click,0.37,0.17,English,0.71
flash sale get 70 off on amazon today shop now: www.official-track.com,promo,General Promo,1,sale,0.52,0.54,English,0.74
limited discount buy 1 get 1 free on flipkart. don t miss out,promo,General Promo,0,"free, limited",0.67,1.0,English,0.61
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/0,promo,Service Update,1,,0.74,0.51,English,0.89
your sbi account has been frozen. verify immediately at http://phish-3.co,scam,Bank Scam,1,"account, verify",0.02,0.23,English,0.67
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.92,1.0,English,0.04
new job deal earn 5000 weekly from home. reply yes to apply.,promo,Service Update,0,,0.56,1.0,English,0.66
flash sale get 70 off on chroma today shop now: https://secure-site.com/0,promo,General Promo,1,sale,0.5,0.62,English,0.88
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/0,promo,Service Update,1,,0.41,0.88,English,0.86
prize of rs. 5000 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.19,1.0,English,0.71
security alert we detected suspicious activity. call phone or visit http://phish-2.co,scam,Tech Support,1,,0.15,0.11,English,0.65
security alert we detected suspicious activity. call phone or visit http://phish-4.co,scam,Tech Support,1,,0.2,0.03,English,0.66
doctor s appointment confirmed for tomorrow at 8.,ham,Service Update,0,,0.99,1.0,English,0.04
WIN a brand new MacBook Pro! Claim now: https://bit.ly/win-macbook,scam,Promotions/Advertising,1,bit.ly;claim;claim now;win,10,27,English,0.74
"Congratulations! You've been selected for ₹50,000 cashback. Reply YES to claim.",scam,Promotions/Advertising,0,cash;cashback;claim;congratulations;selected,31,95,English,0.69
Limited time: Flat 90% off on all smartphones. Shop now!,scam,Promotions/Advertising,0,flat;limited,40,95,English,0.81
"Get rich quick — learn how to earn ₹20,000/day from home. Click here.",scam,Promotions/Advertising,0,click;click here,40,95,English,0.74
Exclusive: Buy 1 Get 1 Free on all perfumes. Use code BOGO70.,scam,Promotions/Advertising,0,free,42,95,English,0.76
Your Aadhaar verification failed. Verify immediately: verify-aadhaar.info,scam,Tech Support/Fake Security,1,aadhaar;verify,0,19,English,0.56
Alert: Unauthorized login to your bank account. Verify here: bank-secure-update.com,scam,Tech Support/Fake Security,1,account;bank;verify,0,28,English,0.71
Your UPI account will be suspended. Update KYC now at secure-upi.verify,scam,Tech Support/Fake Security,1,account;kyc;suspended;verify,0,7,English,0.7
Critical: Malware detected on your device. Call support +1-800-555-0100,scam,Tech Support/Fake Security,0,malware;support,28,95,English,0.43
Your Netflix subscription is on hold. Confirm payment to continue: netflix-payments.info,scam,Tech Support/Fake Security,1,netflix;pay,1,26,English,0.58
"Hey love, can you send ₹3,000? My wallet was stolen abroad.",scam,Relationship/Dating Scam,0,wallet,30,95,English,0.44
"I need urgent help. Stuck at airport, please transfer money immediately.",scam,Relationship/Dating Scam,0,help;stuck;transfer;urgent,10,95,English,0.44
"Babe, please recharge my number for emergency, will repay you.",scam,Relationship/Dating Scam,0,emergency;pay,27,95,English,0.4
"I miss you—send me a gift card worth ₹2,000?",scam,Relationship/Dating Scam,0,gift card,31,95,English,0.54
"Trust me, I'm in trouble. Please wire funds to help.",scam,Relationship/Dating Scam,0,help,30,95,English,0.37
You won't believe what this celebrity did—click to watch!,scam,General Suspicious Links/Clickbait,0,click,10,95,English,0.85
Shocking footage inside school — view now before it's removed!,scam,General Suspicious Links/Clickbait,0,,35,95,English,0.4
"Watch how he turned ₹500 into ₹5,00,000 overnight!",scam,General Suspicious Links/Clickbait,0,,28,95,English,0.36
Viral: See the unbelievable before/after transformation!,scam,General Suspicious Links/Clickbait,0,,25,95,English,0.53
Click to see who's been searching your name online.,scam,General Suspicious Links/Clickbait,0,click,32,95,English,0.81
Congratulations! You've won a free trip to Goa. Claim voucher here.,scam,Promotions/Advertising,0,claim;congratulations;free;voucher,30,95,English,0.57
Limited seats — book your slot for the 'Make Money Fast' webinar.,scam,Promotions/Advertising,0,limited,42,95,English,0.83
