message,category,label_subtype,contains_link,sender_trust_score,link_reputation_score,language_type,ai_generated_score
URGENT: Your ICICI account suspended. Verify now: http://phish-site.com,spam,financial_scams,1,0.01,0.06,English,0.76
Flash sale! headphones par 30% off. Shopping: http://secure-site.com,promo,promotional_offers,1,0.78,0.86,Hinglish,0.43
Loan approve! ₹5000 mil raha. Documents nahi. Reply YES,spam,financial_scams,0,0.27,1.0,Hinglish,0.92
ऋण स्वीकृत! ₹10000 मिल रहा। कोई कागजात नहीं। YES जवाब दें,spam,general_spam,0,0.12,1.0,Hindi,0.74
आज meeting कब है?,ham,personal,0,0.9,1.0,Hindi,0.13
Sarkari yojana: ₹10000 har mahine. YES bhejo,spam,general_spam,0,0.05,1.0,Hinglish,0.94
"29 minute late, traffic mein",ham,personal,0,0.88,1.0,Hinglish,0.2
Can you pick up milk from the store?,ham,personal,0,0.81,1.0,English,0.24
Your package delivery failed. Confirm address: http://phish-site.com,spam,general_spam,1,0.04,0.04,English,0.91
Bank error: Extra ₹25000 credited. Verify: http://phish-site.com,spam,financial_scams,1,0.27,0.16,English,0.86
ऋण स्वीकृत! ₹25000 मिल रहा। कोई कागजात नहीं। YES जवाब दें,spam,general_spam,0,0.14,1.0,Hindi,0.92
जल्दी! आपका Axis खाता निलंबित। सत्यापित करें: http://phish-site.com,spam,general_spam,1,0.09,0.09,Hindi,0.84
FLASH SALE: 40% OFF on headphones. Shop now: http://secure-site.com,promo,promotional_offers,1,0.59,0.88,English,0.42
"Badhai ho! Aap jeete ₹50,000. Claim: http://phish-site.com",spam,general_spam,1,0.22,0.1,Hinglish,0.98
Kal meeting ka mat bhoolna. Time 11:14,ham,personal,0,0.99,1.0,Hinglish,0.17
Thanks for your help with work,ham,personal,0,0.99,1.0,English,0.3
"हे, कल dinner के लिए मिल रहे? समय बताओ",ham,personal,0,0.85,1.0,Hindi,0.12
Work from home: Earn ₹10000 daily. No experience. Reply YES,spam,general_spam,0,0.21,1.0,English,0.99
Special offer: 70% discount,promo,promotional_offers,0,0.68,1.0,Hinglish,0.4
Work from home: Earn ₹25000 daily. No experience. Reply YES,spam,general_spam,0,0.15,1.0,English,0.88
URGENT: Your SBI account suspended. Verify now: http://phish-site.com,spam,financial_scams,1,0.06,0.05,English,0.72
Bank error: Extra ₹50000 credited. Verify: http://phish-site.com,spam,financial_scams,1,0.29,0.19,English,1.0
Birthday treat: 20% off for you!,promo,general_promo,0,0.64,1.0,English,0.54
चेतावनी: आपके खाते में संदिग्ध गतिविधि। कॉल +91-9374938810,spam,general_spam,0,0.09,1.0,Hindi,0.95
Store se medicine le aana,ham,personal,0,0.89,1.0,Hinglish,0.07
Call me when you're free,ham,personal,0,0.88,1.0,English,0.27
Jaldi! Aapka HDFC account suspend. Verify: http://phish-site.com,spam,financial_scams,1,0.25,0.13,Hinglish,0.84
आज appointment कब है?,ham,service_updates,0,0.87,1.0,Hindi,0.14
Flash sale! headphones par 50% off. Shopping: http://secure-site.com,promo,promotional_offers,1,0.55,0.84,Hinglish,0.4
Your number won MacBook. Click to claim: http://phish-site.com,spam,prize_scams,1,0.07,0.13,English,0.83
What time is your appointment?,ham,service_updates,0,0.97,1.0,English,0.22
ऋण स्वीकृत! ₹5000 मिल रहा। कोई कागजात नहीं। YES जवाब दें,spam,general_spam,0,0.24,1.0,Hindi,0.93
ಸ್ಟೋರ್ನಿಂದ medicine ತೆಗೆದುಕೊಳ್ಳಿ,ham,personal,0,0.98,1.0,Kannada,0.2
Free ho toh call karna,ham,personal,0,0.93,1.0,Hinglish,0.1
फ्लैश सेल! laptop पर 50% छूट। खरीदारी: http://secure-site.com,promo,general_promo,1,0.57,0.8,Hindi,0.46
विशेष ऑफर: 60% छूट,promo,general_promo,0,0.68,1.0,Hindi,0.49
Work from home: Earn ₹10000 daily. No experience. Reply YES,spam,general_spam,0,0.03,1.0,English,0.93
Birthday treat: 30% off for you!,promo,general_promo,0,0.71,1.0,English,0.56
ನಿಮ್ಮ Spotify ಚಂದಾದಾರಿಕೆ ಶೀಘ್ರದಲ್ಲೇ ಮುಗಿಯುತ್ತದೆ. ನವೀಕರಿಸಿ,promo,general_promo,0,0.69,1.0,Kannada,0.34
Happy birthday! 🎉 See you tonight!,ham,personal,0,0.88,1.0,English,0.17
"हे, कल dinner के लिए मिल रहे? समय बताओ",ham,personal,0,0.84,1.0,Hindi,0.19
"Badhai ho! Aap jeete ₹50,000. Claim: http://phish-site.com",spam,general_spam,1,0.28,0.13,Hinglish,0.8
Free shipping on orders above ₹50000,promo,general_promo,0,0.79,1.0,English,0.35
Government scheme: Get ₹5000 monthly. Send YES,spam,general_spam,0,0.13,1.0,English,0.99
Refer a friend & get ₹25000 off,promo,general_promo,0,0.61,1.0,English,0.31
Jaldi! Aapka SBI account suspend. Verify: http://phish-site.com,spam,financial_scams,1,0.25,0.17,Hinglish,0.95
ಫ್ಲಾಶ್ ಸೇಲ್! watch ನಲ್ಲಿ 30% ರಿಯಾಯಿತಿ. ಶಾಪಿಂಗ್: http://secure-site.com,promo,general_promo,1,0.57,0.77,Kannada,0.59
Jaldi! Aapka Axis account suspend. Verify: http://phish-site.com,spam,financial_scams,1,0.21,0.16,Hinglish,0.76
Badhai ho! Aap jeete car. Claim: http://phish-site.com,spam,general_spam,1,0.02,0.01,Hinglish,0.91
Your Amazon Prime subscription expired. Update payment: http://phish-site.com,spam,general_spam,1,0.1,0.08,English,0.95
"15 ನಿಮಿಷ ತಡವಾಗಿ, ಟ್ರಾಫಿಕ್ನಲ್ಲಿ",ham,personal,0,0.8,1.0,Kannada,0.24
Loan approve! ₹50000 mil raha. Documents nahi. Reply YES,spam,financial_scams,0,0.19,1.0,Hinglish,0.81
चेतावनी: आपके खाते में संदिग्ध गतिविधि। कॉल +91-9698211415,spam,general_spam,0,0.14,1.0,Hindi,0.77
Sarkari yojana: ₹50000 har mahine. YES bhejo,spam,general_spam,0,0.17,1.0,Hinglish,0.82
"16 ನಿಮಿಷ ತಡವಾಗಿ, ಟ್ರಾಫಿಕ್ನಲ್ಲಿ",ham,personal,0,0.82,1.0,Kannada,0.19
"23 ನಿಮಿಷ ತಡವಾಗಿ, ಟ್ರಾಫಿಕ್ನಲ್ಲಿ",ham,personal,0,0.9,1.0,Kannada,0.08
Call me when you're free,ham,personal,0,0.92,1.0,English,0.29
Your device has virus. Download antivirus: http://phish-site.com,spam,general_spam,1,0.1,0.06,English,0.73
आज meeting कब है?,ham,personal,0,0.85,1.0,Hindi,0.25
ಸರ್ಕಾರಿ ಯೋಜನೆ: ₹25000 ಪ್ರತಿ ತಿಂಗಳು. YES ಕಳುಹಿಸಿ,spam,general_spam,0,0.11,1.0,Kannada,0.92
Did you finish the presentation?,ham,personal,0,0.85,1.0,English,0.19
"34 minute late, traffic mein",ham,personal,0,0.9,1.0,Hinglish,0.16
बधाई! आपने iPhone 15 जीता। दावा करें: http://phish-site.com,spam,general_spam,1,0.18,0.08,Hindi,0.96
Can you pick up medicine from the store?,ham,personal,0,0.96,1.0,English,0.28
SECURITY ALERT: Suspicious login detected. Secure account: http://phish-site.com,spam,financial_scams,1,0.23,0.03,English,0.73
बधाई! आपने iPhone 15 जीता। दावा करें: http://phish-site.com,spam,general_spam,1,0.01,0.03,Hindi,0.72
"Hey, kal dinner ke liye mil rahe? Time batao",ham,personal,0,0.86,1.0,Hinglish,0.17
सरकारी योजना: ₹50000 हर महीने। YES भेजें,spam,general_spam,0,0.09,1.0,Hindi,0.82
"Running 28 minutes late, stuck in traffic",ham,personal,0,0.97,1.0,English,0.04
"35 मिनट लेट, ट्रैफिक में",ham,personal,0,0.85,1.0,Hindi,0.09
ಅಭಿನಂದನೆಗಳು! ನೀವು MacBook ಗೆದ್ದಿದ್ದೀರಿ. ಕ್ಲೈಮ್: http://phish-site.com,spam,general_spam,1,0.29,0.15,Kannada,0.7
जल्दी! आपका HDFC खाता निलंबित। सत्यापित करें: http://phish-site.com,spam,general_spam,1,0.01,0.07,Hindi,0.91
Member exclusive: Extra 30% off,promo,general_promo,0,0.7,1.0,English,0.34
Special offer: laptop at 70% discount,promo,promotional_offers,0,0.74,1.0,English,0.5
Loan approve! ₹25000 mil raha. Documents nahi. Reply YES,spam,financial_scams,0,0.29,1.0,Hinglish,0.74
Your package delivery failed. Confirm address: http://phish-site.com,spam,general_spam,1,0.22,0.05,English,0.71
Meeting rescheduled to 4:54,ham,personal,0,0.85,1.0,English,0.06
Tax refund of ₹50000 approved. Claim: http://phish-site.com,spam,general_spam,1,0.13,0.16,English,0.82
Loan approve! ₹50000 mil raha. Documents nahi. Reply YES,spam,financial_scams,0,0.16,1.0,Hinglish,0.75
विशेष ऑफर: 50% छूट,promo,general_promo,0,0.71,1.0,Hindi,0.6
"Hey, are we meeting for meeting today? Let me know",ham,personal,0,0.86,1.0,English,0.1
What time is your meeting?,ham,personal,0,0.88,1.0,English,0.29
Aaj meeting kab hai?,ham,personal,0,0.95,1.0,Hinglish,0.2
"10 ನಿಮಿಷ ತಡವಾಗಿ, ಟ್ರಾಫಿಕ್ನಲ್ಲಿ",ham,personal,0,0.98,1.0,Kannada,0.03
Aapka Netflix subscription jald khatam. Renew karo,promo,service_updates,0,0.61,1.0,Hinglish,0.59
जल्दी! आपका HDFC खाता निलंबित। सत्यापित करें: http://phish-site.com,spam,general_spam,1,0.05,0.18,Hindi,0.92
Your package delivery failed. Confirm address: http://phish-site.com,spam,general_spam,1,0.21,0.19,English,0.81
"Hey, kal dinner ke liye mil rahe? Time batao",ham,personal,0,0.94,1.0,Hinglish,0.21
You are selected for ₹5000 cash prize. Call +91-8959550883,spam,prize_scams,0,0.04,1.0,English,0.86
"ಹೇ, ನಾಳೆ meeting ಗೆ ಭೇಟಿ ಮಾಡುತ್ತಿದ್ದೀರಾ? ಸಮಯ ತಿಳಿಸಿ",ham,personal,0,1.0,1.0,Kannada,0.01
फ्लैश सेल! watch पर 20% छूट। खरीदारी: http://secure-site.com,promo,general_promo,1,0.55,0.86,Hindi,0.56
"ಹೇ, ನಾಳೆ meeting ಗೆ ಭೇಟಿ ಮಾಡುತ್ತಿದ್ದೀರಾ? ಸಮಯ ತಿಳಿಸಿ",ham,personal,0,0.88,1.0,Kannada,0.1
Your OTP is 912377. Do not share,ham,service_updates,0,0.96,1.0,English,0.13
Sarkari yojana: ₹10000 har mahine. YES bhejo,spam,general_spam,0,0.2,1.0,Hinglish,0.91
Free ho toh call karna,ham,personal,0,0.92,1.0,Hinglish,0.12
"हे, कल meeting के लिए मिल रहे? समय बताओ",ham,personal,0,0.99,1.0,Hindi,0.05
See you at mall,ham,personal,0,0.92,1.0,English,0.11
"Hey, kal meeting ke liye mil rahe? Time batao",ham,personal,0,0.8,1.0,Hinglish,0.0
CONGRATULATIONS! You won iPhone 15. Claim: http://phish-site.com,spam,prize_scams,1,0.11,0.19,English,0.79
Meeting rescheduled to 7:24,ham,personal,0,0.93,1.0,English,0.25
Flash sale! headphones par 20% off. Shopping: http://secure-site.com,promo,promotional_offers,1,0.68,0.77,Hinglish,0.39
कल meeting का मत भूलना। समय 9:21,ham,personal,0,0.9,1.0,Hindi,0.29
Sarkari yojana: ₹5000 har mahine. YES bhejo,spam,general_spam,0,0.15,1.0,Hinglish,0.73
Your OTP is 907194. Do not share,ham,service_updates,0,0.96,1.0,English,0.22
Government scheme: Get ₹50000 monthly. Send YES,spam,general_spam,0,0.07,1.0,English,0.89
ಸರ್ಕಾರಿ ಯೋಜನೆ: ₹25000 ಪ್ರತಿ ತಿಂಗಳು. YES ಕಳುಹಿಸಿ,spam,general_spam,0,0.21,1.0,Kannada,0.73
"हे, कल dinner के लिए मिल रहे? समय बताओ",ham,personal,0,0.95,1.0,Hindi,0.03
Did you finish the report?,ham,personal,0,0.93,1.0,English,0.13
Aaj appointment kab hai?,ham,service_updates,0,0.8,1.0,Hinglish,0.18
Loan approved! Get ₹25000 instantly. No documents. Reply YES,spam,financial_scams,0,0.1,1.0,English,0.95
स्टोर से milk ले आना,ham,personal,0,0.86,1.0,Hindi,0.21
Your number won MacBook. Click to claim: http://phish-site.com,spam,prize_scams,1,0.07,0.03,English,0.92
Loan approve! ₹5000 mil raha. Documents nahi. Reply YES,spam,financial_scams,0,0.04,1.0,Hinglish,1.0
फ्री हो तो कॉल करना,ham,personal,0,0.86,1.0,Hindi,0.21
Member exclusive: Extra 50% off,promo,general_promo,0,0.55,1.0,English,0.5
Did you finish the assignment?,ham,personal,0,0.93,1.0,English,0.17
"ಹೇ, ನಾಳೆ dinner ಗೆ ಭೇಟಿ ಮಾಡುತ್ತಿದ್ದೀರಾ? ಸಮಯ ತಿಳಿಸಿ",ham,personal,0,0.89,1.0,Kannada,0.15
FLASH SALE: 30% OFF on laptop. Shop now: http://secure-site.com,promo,promotional_offers,1,0.72,0.88,English,0.53
Your number won car. Click to claim: http://phish-site.com,spam,prize_scams,1,0.28,0.13,English,0.73
ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ನಲ್ಲಿ 15% ಕ್ಯಾಶ್‌ಬ್ಯಾಕ್,promo,general_promo,0,0.58,1.0,Kannada,0.41
ಸರ್ಕಾರಿ ಯೋಜನೆ: ₹10000 ಪ್ರತಿ ತಿಂಗಳು. YES ಕಳುಹಿಸಿ,spam,general_spam,0,0.03,1.0,Kannada,0.73
Store se milk le aana,ham,personal,0,0.83,1.0,Hinglish,0.27
"9 मिनट लेट, ट्रैफिक में",ham,personal,0,0.84,1.0,Hindi,0.11
ಲೋನ್ ಅನುಮೋದಿತ! ₹50000 ಸಿಗುತ್ತಿದೆ. ಯಾವುದೇ ದಾಖಲೆಗಳಿಲ್ಲ. YES ಉತ್ತರಿಸಿ,spam,general_spam,0,0.16,1.0,Kannada,0.91
Loan approved! Get ₹10000 instantly. No documents. Reply YES,spam,financial_scams,0,0.21,1.0,English,0.94
Birthday treat: 20% off for you!,promo,general_promo,0,0.58,1.0,English,0.5
Your OTP is 705449. Do not share,ham,service_updates,0,0.94,1.0,English,0.12
Your Netflix subscription expired. Update payment: http://phish-site.com,spam,general_spam,1,0.0,0.18,English,0.85
Your package delivery failed. Confirm address: http://phish-site.com,spam,general_spam,1,0.23,0.11,English,0.97
Birthday treat: 30% off for you!,promo,general_promo,0,0.73,1.0,English,0.56
"हे, कल dinner के लिए मिल रहे? समय बताओ",ham,personal,0,0.87,1.0,Hindi,0.27
"Running 36 minutes late, stuck in traffic",ham,personal,0,0.86,1.0,English,0.03
Get 5% cashback on credit card spends,promo,general_promo,0,0.53,1.0,English,0.56
Your device has virus. Download antivirus: http://phish-site.com,spam,general_spam,1,0.07,0.09,English,0.97
Limited time: Buy 1 Get 1 Free on electronics. Code: SAVE36,promo,general_promo,0,0.53,1.0,English,0.52
ನಿಮ್ಮ Spotify ಚಂದಾದಾರಿಕೆ ಶೀಘ್ರದಲ್ಲೇ ಮುಗಿಯುತ್ತದೆ. ನವೀಕರಿಸಿ,promo,general_promo,0,0.59,1.0,Kannada,0.44
Doctor appointment confirmed for 1:22,ham,service_updates,0,0.85,1.0,English,0.16
स्टोर से bread ले आना,ham,personal,0,0.88,1.0,Hindi,0.25
CONGRATULATIONS! You won iPhone 15. Claim: http://phish-site.com,spam,prize_scams,1,0.14,0.05,English,0.71
Happy birthday! 🎉 See you tonight!,ham,personal,0,0.97,1.0,English,0.1
What time is your meeting?,ham,personal,0,0.95,1.0,English,0.08
Jaldi! Aapka ICICI account suspend. Verify: http://phish-site.com,spam,financial_scams,1,0.17,0.16,Hinglish,0.92
Limited time: Buy 1 Get 1 Free on home. Code: SAVE36,promo,general_promo,0,0.66,1.0,English,0.33
Government scheme: Get ₹25000 monthly. Send YES,spam,general_spam,0,0.29,1.0,English,0.74
Store se medicine le aana,ham,personal,0,0.99,1.0,Hinglish,0.19
कल dinner का मत भूलना। समय 6:45,ham,personal,0,0.84,1.0,Hindi,0.19
ವಿಶೇಷ ಆಫರ್: 40% ರಿಯಾಯಿತಿ,promo,general_promo,0,0.61,1.0,Kannada,0.58
Special offer: smartphone at 30% discount,promo,promotional_offers,0,0.72,1.0,English,0.52
"Running 43 minutes late, stuck in traffic",ham,personal,0,0.98,1.0,English,0.23
Limited time: Buy 1 Get 1 Free on electronics. Code: SAVE44,promo,general_promo,0,0.53,1.0,English,0.39
Limited time: 1 kharido 1 free. Code SAVE21,promo,general_promo,0,0.77,1.0,Hinglish,0.33
ಸೀಮಿತ ಸಮಯ: 1 ಖರೀದಿ 1 ಉಚಿತ. ಕೋಡ್ SAVE15,promo,general_promo,0,0.76,1.0,Kannada,0.46
Store se bread le aana,ham,personal,0,0.96,1.0,Hinglish,0.12
"6 minute late, traffic mein",ham,personal,0,0.95,1.0,Hinglish,0.09
विशेष ऑफर: 70% छूट,promo,general_promo,0,0.78,1.0,Hindi,0.56
आज meeting कब है?,ham,personal,0,0.82,1.0,Hindi,0.22
ಲೋನ್ ಅನುಮೋದಿತ! ₹50000 ಸಿಗುತ್ತಿದೆ. ಯಾವುದೇ ದಾಖಲೆಗಳಿಲ್ಲ. YES ಉತ್ತರಿಸಿ,spam,general_spam,0,0.03,1.0,Kannada,0.93
Get 10% cashback on credit card spends,promo,general_promo,0,0.78,1.0,English,0.45
Your OTP is 175523. Do not share,ham,service_updates,0,0.83,1.0,English,0.09
Free ho toh call karna,ham,personal,0,0.81,1.0,Hinglish,0.22
Bank error: Extra ₹5000 credited. Verify: http://phish-site.com,spam,financial_scams,1,0.1,0.04,English,0.71
Can you pick up medicine from the store?,ham,personal,0,0.87,1.0,English,0.26
ಉಚಿತವಾಗಿದ್ದರೆ ಕರೆ ಮಾಡಿ,ham,personal,0,0.92,1.0,Kannada,0.07
Don't forget about dinner tomorrow at 9:38,ham,personal,0,0.83,1.0,English,0.1
Store se medicine le aana,ham,personal,0,0.85,1.0,Hinglish,0.17
"38 मिनट लेट, ट्रैफिक में",ham,personal,0,0.83,1.0,Hindi,0.11
Loan approve! ₹10000 mil raha. Documents nahi. Reply YES,spam,financial_scams,0,0.3,1.0,Hinglish,0.87
सरकारी योजना: ₹5000 हर महीने। YES भेजें,spam,general_spam,0,0.25,1.0,Hindi,0.8
Working from home today,ham,personal,0,0.88,1.0,English,0.13
Limited time: Buy 1 Get 1 Free on fashion. Code: SAVE41,promo,general_promo,0,0.52,1.0,English,0.52
Special offer: 40% discount,promo,promotional_offers,0,0.75,1.0,Hinglish,0.46
Your package delivery failed. Confirm address: http://phish-site.com,spam,general_spam,1,0.18,0.1,English,0.72
CONGRATULATIONS! You won car. Claim: http://phish-site.com,spam,prize_scams,1,0.16,0.17,English,0.74
बधाई! आपने car जीता। दावा करें: http://phish-site.com,spam,general_spam,1,0.25,0.13,Hindi,0.72
New laptop collection launched! Use code SAVE11,promo,general_promo,0,0.69,1.0,English,0.31
ತ್ವರಿತ! ನಿಮ್ಮ Axis ಖಾತೆ ನಿಲ್ಲಿಸಲಾಗಿದೆ. ಧೃಡೀಕರಿಸಿ: http://phish-site.com,spam,general_spam,1,0.15,0.09,Kannada,0.78
ಸೀಮಿತ ಸಮಯ: 1 ಖರೀದಿ 1 ಉಚಿತ. ಕೋಡ್ SAVE34,promo,general_promo,0,0.56,1.0,Kannada,0.53
Call me when you're free,ham,personal,0,0.97,1.0,English,0.1
Doctor appointment confirmed for 11:26,ham,service_updates,0,0.95,1.0,English,0.08
Your device has virus. Download antivirus: http://phish-site.com,spam,general_spam,1,0.09,0.19,English,0.77
Alert: Aapke account mein suspicious activity. Call +91-7423561068,spam,financial_scams,0,0.07,1.0,Hinglish,0.89
Jaldi! Aapka Axis account suspend. Verify: http://phish-site.com,spam,financial_scams,1,0.3,0.13,Hinglish,0.92
Your UPI will be deactivated. Verify now: http://phish-site.com,spam,phishing_scams,1,0.18,0.07,English,0.75
"बधाई! आपने ₹50,000 जीता। दावा करें: http://phish-site.com",spam,general_spam,1,0.04,0.2,Hindi,0.86
URGENT: Your SBI account suspended. Verify now: http://phish-site.com,spam,financial_scams,1,0.23,0.1,English,0.72
ನಾಳೆ dinner ಮರೆಯಬೇಡಿ. ಸಮಯ 1:26,ham,personal,0,0.93,1.0,Kannada,0.22
Your device has virus. Download antivirus: http://phish-site.com,spam,general_spam,1,0.18,0.08,English,0.75
Credit card par 5% cashback,promo,general_promo,0,0.74,1.0,Hinglish,0.56
Doctor appointment confirmed for 4:09,ham,service_updates,0,0.81,1.0,English,0.05
Credit card par 5% cashback,promo,general_promo,0,0.63,1.0,Hinglish,0.52
Your device has virus. Download antivirus: http://phish-site.com,spam,general_spam,1,0.03,0.07,English,0.83
Your Spotify subscription expired. Update payment: http://phish-site.com,spam,general_spam,1,0.18,0.16,English,0.77
Don't forget about meeting tomorrow at 7:22,ham,personal,0,0.87,1.0,English,0.01
Flash sale! watch par 50% off. Shopping: http://secure-site.com,promo,promotional_offers,1,0.73,0.89,Hinglish,0.39
New headphones collection launched! Use code SAVE50,promo,general_promo,0,0.73,1.0,English,0.35
"31 minute late, traffic mein",ham,personal,0,0.9,1.0,Hinglish,0.01
विशेष ऑफर: 60% छूट,promo,general_promo,0,0.65,1.0,Hindi,0.51
Sarkari yojana: ₹10000 har mahine. YES bhejo,spam,general_spam,0,0.09,1.0,Hinglish,0.88
Package will be delivered today between 9-2,ham,personal,0,0.81,1.0,English,0.24
Your UPI will be deactivated. Verify now: http://phish-site.com,spam,phishing_scams,1,0.26,0.06,English,0.83
See you at mall,ham,personal,0,0.83,1.0,English,0.04
Weekend special: Extra 70% off. Shop: http://secure-site.com,promo,general_promo,1,0.73,0.83,English,0.46
Working from home today,ham,personal,0,0.95,1.0,English,0.11
Your package delivery failed. Confirm address: http://phish-site.com,spam,general_spam,1,0.28,0.02,English,0.96
URGENT: Your ICICI account suspended. Verify now: http://phish-site.com,spam,financial_scams,1,0.1,0.03,English,0.71
"Running 39 minutes late, stuck in traffic",ham,personal,0,0.88,1.0,English,0.18
ಸ್ಟೋರ್ನಿಂದ medicine ತೆಗೆದುಕೊಳ್ಳಿ,ham,personal,0,0.99,1.0,Kannada,0.24
Your number won MacBook. Click to claim: http://phish-site.com,spam,prize_scams,1,0.11,0.06,English,0.73
Sarkari yojana: ₹25000 har mahine. YES bhejo,spam,general_spam,0,0.1,1.0,Hinglish,0.93
ऋण स्वीकृत! ₹50000 मिल रहा। कोई कागजात नहीं। YES जवाब दें,spam,general_spam,0,0.2,1.0,Hindi,0.92
Limited time: Buy 1 Get 1 Free on home. Code: SAVE13,promo,general_promo,0,0.67,1.0,English,0.48
Weekend special: Extra 30% off. Shop: http://secure-site.com,promo,general_promo,1,0.54,0.82,English,0.46
सीमित समय: 1 खरीदो 1 मुफ्त। कोड SAVE20,promo,general_promo,0,0.62,1.0,Hindi,0.53
"Running 8 minutes late, stuck in traffic",ham,personal,0,0.91,1.0,English,0.24
"Running 29 minutes late, stuck in traffic",ham,personal,0,0.95,1.0,English,0.27
विशेष ऑफर: 30% छूट,promo,general_promo,0,0.61,1.0,Hindi,0.31
Aapka Amazon Prime subscription jald khatam. Renew karo,promo,service_updates,0,0.56,1.0,Hinglish,0.42
विशेष ऑफर: 50% छूट,promo,general_promo,0,0.77,1.0,Hindi,0.38
Don't forget about dinner tomorrow at 7:25,ham,personal,0,0.88,1.0,English,0.02
Flash sale! laptop par 30% off. Shopping: http://secure-site.com,promo,promotional_offers,1,0.5,0.74,Hinglish,0.58
Package will be delivered today between 9-6,ham,personal,0,0.91,1.0,English,0.27
Loan approved! Get ₹25000 instantly. No documents. Reply YES,spam,financial_scams,0,0.05,1.0,English,0.96
Package will be delivered today between 1-12,ham,personal,0,0.83,1.0,English,0.18
फ्लैश सेल! smartphone पर 30% छूट। खरीदारी: http://secure-site.com,promo,general_promo,1,0.6,0.88,Hindi,0.53
Loan approve! ₹50000 mil raha. Documents nahi. Reply YES,spam,financial_scams,0,0.03,1.0,Hinglish,0.79
Doctor appointment confirmed for 6:29,ham,service_updates,0,0.82,1.0,English,0.28
"45 minute late, traffic mein",ham,personal,0,0.97,1.0,Hinglish,0.06
Loan approved! Get ₹25000 instantly. No documents. Reply YES,spam,financial_scams,0,0.05,1.0,English,0.8
Special offer: 60% discount,promo,promotional_offers,0,0.59,1.0,Hinglish,0.54
स्टोर से medicine ले आना,ham,personal,0,0.95,1.0,Hindi,0.01
"बधाई! आपने ₹50,000 जीता। दावा करें: http://phish-site.com",spam,general_spam,1,0.05,0.06,Hindi,0.98
"ಹೇ, ನಾಳೆ dinner ಗೆ ಭೇಟಿ ಮಾಡುತ್ತಿದ್ದೀರಾ? ಸಮಯ ತಿಳಿಸಿ",ham,personal,0,0.97,1.0,Kannada,0.06
Jaldi! Aapka ICICI account suspend. Verify: http://phish-site.com,spam,financial_scams,1,0.0,0.01,Hinglish,0.85
Your UPI will be deactivated. Verify now: http://phish-site.com,spam,phishing_scams,1,0.04,0.16,English,0.76
Kal dinner ka mat bhoolna. Time 6:51,ham,personal,0,0.88,1.0,Hinglish,0.08
Credit card par 15% cashback,promo,general_promo,0,0.7,1.0,Hinglish,0.6
Package will be delivered today between 6-12,ham,personal,0,0.87,1.0,English,0.17
Call me when you're free,ham,personal,0,0.99,1.0,English,0.16
फ्री हो तो कॉल करना,ham,personal,0,0.88,1.0,Hindi,0.23
You are selected for ₹50000 cash prize. Call +91-9302744143,spam,prize_scams,0,0.24,1.0,English,0.93
Call me when you're free,ham,personal,0,0.82,1.0,English,0.12
क्रेडिट कार्ड पर 5% कैशबैक,promo,general_promo,0,0.61,1.0,Hindi,0.41
Early access: New arrivals now live,promo,general_promo,0,0.71,1.0,English,0.35
Flash sale! laptop par 30% off. Shopping: http://secure-site.com,promo,promotional_offers,1,0.7,0.78,Hinglish,0.59
Aaj flight kab hai?,ham,personal,0,0.97,1.0,Hinglish,0.11
सरकारी योजना: ₹5000 हर महीने। YES भेजें,spam,general_spam,0,0.06,1.0,Hindi,0.79
आज meeting कब है?,ham,personal,0,1.0,1.0,Hindi,0.16
Your UPI will be deactivated. Verify now: http://phish-site.com,spam,phishing_scams,1,0.04,0.18,English,0.76
स्टोर से milk ले आना,ham,personal,0,0.99,1.0,Hindi,0.11
क्रेडिट कार्ड पर 15% कैशबैक,promo,general_promo,0,0.73,1.0,Hindi,0.58
ಉಚಿತವಾಗಿದ್ದರೆ ಕರೆ ಮಾಡಿ,ham,personal,0,0.82,1.0,Kannada,0.2
Tax refund of ₹5000 approved. Claim: http://phish-site.com,spam,general_spam,1,0.26,0.2,English,0.92
Doctor appointment confirmed for 7:19,ham,service_updates,0,0.85,1.0,English,0.05
Aaj flight kab hai?,ham,personal,0,0.86,1.0,Hinglish,0.01
Store se bread le aana,ham,personal,0,0.84,1.0,Hinglish,0.02
"Hey, are we meeting for lunch today? Let me know",ham,personal,0,0.81,1.0,English,0.17
Can you pick up medicine from the store?,ham,personal,0,0.9,1.0,English,0.18
Your OTP is 903252. Do not share,ham,service_updates,0,0.84,1.0,English,0.1
Kal dinner ka mat bhoolna. Time 6:04,ham,personal,0,0.97,1.0,Hinglish,0.17
Limited time: 1 kharido 1 free. Code SAVE12,promo,general_promo,0,0.55,1.0,Hinglish,0.48
Aadhaar verification failed. Update immediately: http://phish-site.com,spam,general_spam,1,0.18,0.0,English,0.8
Aapka Netflix subscription jald khatam. Renew karo,promo,service_updates,0,0.67,1.0,Hinglish,0.4
ಅಭಿನಂದನೆಗಳು! ನೀವು car ಗೆದ್ದಿದ್ದೀರಿ. ಕ್ಲೈಮ್: http://phish-site.com,spam,general_spam,1,0.15,0.17,Kannada,0.93
Sarkari yojana: ₹10000 har mahine. YES bhejo,spam,general_spam,0,0.14,1.0,Hinglish,0.76
